"time","wB","I","M_mot","M_load","U"
0,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0002,-4.41450056082241041e-02,2.28418458897537313e+00,2.28418458897537313e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0004,-6.60000220763759110e-02,4.35163552305117918e+00,4.35163552305117940e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0006,-6.76825371200262677e-02,6.22262804036502537e+00,6.22262804036502581e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0008,-5.11121238269105493e-02,7.91547824180989323e+00,7.91547824180989346e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.001,-1.80293677077229160e-02,9.44682483554360175e+00,9.44682483554360242e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0012,2.99875901519861994e-02,1.08316639506446784e+01,1.08316639506446788e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0014,9.15072922794295529e-02,1.20837071226677910e+01,1.20837071226677928e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0016,1.65232271239907164e-01,1.32153225981360745e+01,1.32153225981360745e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0018,2.49986029089842104e-01,1.42378398153047083e+01,1.42378398153047092e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.002,3.44702456031645121e-01,1.51613746233263100e+01,1.51613746233263114e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0022,4.48414448039940461e-01,1.59951645889850731e+01,1.59951645889850735e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0024,5.60245146243647518e-01,1.67475830727760915e+01,1.67475830727760933e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0026,6.79399510702657583e-01,1.74262232143104185e+01,1.74262232143104190e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0028,8.05156696362687607e-01,1.80379705584495902e+01,1.80379705584495920e+00,-5.00000000000000000e-01,1.20000000000000000e+01
