"time","wB","I","M_mot","M_load","U"
0,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0001,-2.49993739833627403e-02,1.17052773325176251e+00,1.17052773325176260e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0002,-4.41450056082241041e-02,2.28418458897537313e+00,2.28418458897537313e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0003,-5.77215348728034316e-02,3.34368371805612030e+00,3.34368371805612075e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0004,-6.60000220763759110e-02,4.35163552305117918e+00,4.35163552305117940e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0005,-6.92384626620529686e-02,5.31050067556452898e+00,5.31050067556452898e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0006,-6.76825371200262677e-02,6.22262804036502537e+00,6.22262804036502581e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0007,-6.15661670625295976e-02,7.09024554502434956e+00,7.09024554502434956e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0008,-5.11121238269105493e-02,7.91547824180989323e+00,7.91547824180989346e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0009,-3.65325430197281642e-02,8.70036256699662403e+00,8.70036256699662447e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.001,-1.80293677077229160e-02,9.44682483554360175e+00,9.44682483554360242e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0011,4.20510047451278651e-03,1.01566691274711189e+01,1.01566691274711185e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0012,2.99875901519861994e-02,1.08316639506446784e+01,1.08316639506446788e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0013,5.91436800188000142e-02,1.14734760193485492e+01,1.14734760193485497e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0014,9.15072922794295529e-02,1.20837071226677910e+01,1.20837071226677928e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0015,1.26920365716739980e-01,1.26638421416431619e+01,1.26638421416431624e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0016,1.65232271239907164e-01,1.32153225981360745e+01,1.32153225981360745e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0017,2.06299594722576474e-01,1.37395685420266354e+01,1.37395685420266367e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0018,2.49986029089842104e-01,1.42378398153047083e+01,1.42378398153047092e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0019,2.96161573023229097e-01,1.47113812720346555e+01,1.47113812720346560e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.002,3.44702456031645121e-01,1.51613746233263100e+01,1.51613746233263114e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0021,3.95490822218276361e-01,1.55889451898776699e+01,1.55889451898776699e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0022,4.48414448039940461e-01,1.59951645889850731e+01,1.59951645889850735e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0023,5.03366473515251545e-01,1.63810532940900693e+01,1.63810532940900710e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0024,5.60245146243647518e-01,1.67475830727760915e+01,1.67475830727760933e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0025,6.18953577626883633e-01,1.70956793089059254e+01,1.70956793089059267e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0026,6.79399510702657583e-01,1.74262232143104185e+01,1.74262232143104190e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0027,7.41495099072705388e-01,1.77400539352303710e+01,1.77400539352303710e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0028,8.05156696362687607e-01,1.80379705584495902e+01,1.80379705584495920e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0029,8.70304655713372011e-01,1.83207340218575716e+01,1.83207340218575720e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.003,9.36863138841007359e-01,1.85890689339481945e+01,1.85890689339481963e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0031,1.00475993420451148e+00,1.88436662957504097e+01,1.88436662957504097e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0032,1.07392628879106211e+00,1.90851835859963508e+01,1.90851835859963526e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0033,1.14429674033593010e+00,1.93142464599754504e+01,1.93142464599754504e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0034,1.21580895804475553e+00,1.95314506952905802e+01,1.95314506952905820e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0035,1.28840359305232366e+00,1.97373636185390176e+01,1.97373636185390189e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0036,1.36202413598620242e+00,1.99325254638824312e+01,1.99325254638824312e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0037,1.43661678143269089e+00,2.01174506667599324e+01,2.01174506667599351e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0038,1.51213029878648264e+00,2.02926290958396898e+01,2.02926290958396915e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0039,1.58851590928535069e+00,2.04585272261589211e+01,2.04585272261589202e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.004,1.66572716892235517e+00,2.06155892562538767e+01,2.06155892562538767e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0041,1.74371985694940679e+00,2.07642381719594056e+01,2.07642381719594082e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0042,1.82245186970527651e+00,2.09048767594203007e+01,2.09048767594203033e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0043,1.90188311951384503e+00,2.10378885697389428e+01,2.10378885697389428e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0044,1.98197543841050572e+00,2.11636387847378842e+01,2.11636387847378860e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0045,2.06269248620211476e+00,2.12824749501495027e+01,2.12824749501495036e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0046,2.14399967173022521e+00,2.13947283451037151e+01,2.13947283451037151e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0047,2.22586404349440059e+00,2.15007144193234581e+01,2.15007144193234589e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0048,2.30825423776725502e+00,2.16007335499221789e+01,2.16007335499221798e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0049,2.39114039423742808e+00,2.16950717617523594e+01,2.16950717617523603e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.005,2.47449408417492167e+00,2.17840014134206967e+01,2.17840014134206994e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0051,2.55828824203000771e+00,2.18677818505093136e+01,2.18677818505093136e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0052,2.64249710029028018e+00,2.19466600275835830e+01,2.19466600275835821e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0053,2.72709612740545682e+00,2.20208711004800826e+01,2.20208711004800817e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0054,2.81206196888292670e+00,2.20906389902903477e+01,2.20906389902903477e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0055,2.89737239097531907e+00,2.21561769204078836e+01,2.21561769204078862e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0056,2.98300622713729657e+00,2.22176879279198083e+01,2.22176879279198092e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0057,3.06894332704195261e+00,2.22753643292632226e+01,2.22753643292632253e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0058,3.15516450292807216e+00,2.23293904696099972e+01,2.23293904696099998e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0059,3.24165148969668770e+00,2.23799418792958562e+01,2.23799418792958571e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.006,3.32838690079185273e+00,2.24271856908459100e+01,2.24271856908459100e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0061,3.41535418616872777e+00,2.24712810413551551e+01,2.24712810413551578e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0062,3.50253759227558303e+00,2.25123794556152035e+01,2.25123794556152035e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0063,3.58992212395342536e+00,2.25506252109416643e+01,2.25506252109416661e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0064,3.67749350816159071e+00,2.25861556845812039e+01,2.25861556845812039e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0065,3.76523815944217066e+00,2.26191016845316675e+01,2.26191016845316684e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0066,3.85314314704019401e+00,2.26495877646106720e+01,2.26495877646106747e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0067,3.94119616360077973e+00,2.26777325245331056e+01,2.26777325245331074e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0068,4.02938549536820201e+00,2.27036488957399598e+01,2.27036488957399607e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0069,4.11769999381554541e+00,2.27274444137101952e+01,2.27274444137101961e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.007,4.20612904857668291e+00,2.27492214774401553e+01,2.27492214774401580e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0071,4.29466256175257399e+00,2.27690775967648804e+01,2.27690775967648795e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0072,4.38329092359835570e+00,2.27871034838926079e+01,2.27871034838926079e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0073,4.47200497839953748e+00,2.28033872624727145e+01,2.28033872624727163e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0074,4.56079601150681935e+00,2.28180137148112365e+01,2.28180137148112383e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0075,4.64965573260773635e+00,2.28310635806381335e+01,2.28310635806381335e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0076,4.73857625549305439e+00,2.28426137596286480e+01,2.28426137596286472e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0077,4.82755007883676335e+00,2.28527375069874346e+01,2.28527375069874372e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0078,4.91657006795493956e+00,2.28614405999451655e+01,2.28614405999451664e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0079,5.00562911740597993e+00,2.28688680513005913e+01,2.28688680513005904e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.008,5.09472084714953777e+00,2.28750821993279274e+01,2.28750821993279274e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0081,5.18383918914796826e+00,2.28801425368514160e+01,2.28801425368514177e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0082,5.27297837312384221e+00,2.28841059066858463e+01,2.28841059066858454e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0083,5.36213291329534147e+00,2.28870267305359540e+01,2.28870267305359532e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0084,5.45129759625674648e+00,2.28889573197735672e+01,2.28889573197735663e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0085,5.54046747039389587e+00,2.28899450113704326e+01,2.28899450113704317e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0086,5.62963782081207142e+00,2.28900382152283939e+01,2.28900382152283965e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0087,5.71880417514056383e+00,2.28892796822113240e+01,2.28892796822113231e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0088,5.80796227498153339e+00,2.28877064244705224e+01,2.28877064244705242e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0089,5.89710804720644699e+00,2.28853585689102985e+01,2.28853585689103012e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.009,5.98623761952018718e+00,2.28822713298739018e+01,2.28822713298739044e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0091,6.07534729588880396e+00,2.28784789473033463e+01,2.28784789473033490e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0092,6.16443355165879669e+00,2.28740144599168786e+01,2.28740144599168804e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0093,6.25349302754258574e+00,2.28689096201609061e+01,2.28689096201609088e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0094,6.34252252317901988e+00,2.28631948727342653e+01,2.28631948727342671e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0095,6.43151899058684773e+00,2.28568993646950034e+01,2.28568993646950025e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0096,6.52047952766905059e+00,2.28500509723278817e+01,2.28500509723278844e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0097,6.60940137185183563e+00,2.28426763371365027e+01,2.28426763371365027e+00,-5.00000000000000000e-01,1.20000000000000000e+01
