"time","M","wB"
0,1.00000000000000000e+00,-0.00000000000000000e+00
0.002,1.00000000000000000e+00,9.99500168723481019e-01
0.004,1.00000000000000000e+00,1.99800133427776871e+00
0.006,1.00000000000000000e+00,2.99550449569853505e+00
0.008,1.00000000000000000e+00,3.99201064691499852e+00
0.01,1.00000000000000000e+00,4.98752079035266682e+00
0.012,1.00000000000000000e+00,5.98203591497188469e+00
0.014,1.00000000000000000e+00,6.97555702792021570e+00
0.016,1.00000000000000000e+00,7.96808511658517737e+00
0.018,1.00000000000000000e+00,8.95962117829901317e+00
0.02,1.00000000000000000e+00,9.95016620125268325e+00
0.022,1.00000000000000000e+00,1.09397211778244774e+01
0.024,1.00000000000000000e+00,1.19282870978909123e+01
0.026,1.00000000000000000e+00,1.29158649468083695e+01
0.028,1.00000000000000000e+00,1.39024557081626394e+01
0.03,1.00000000000000000e+00,1.48880603961722073e+01
0.032,1.00000000000000000e+00,1.58726799841790509e+01
0.034,1.00000000000000000e+00,1.68563154525976984e+01
0.036,1.00000000000000000e+00,1.78389677802309805e+01
0.038,1.00000000000000000e+00,1.88206379430071671e+01
0.04,1.00000000000000000e+00,1.98013269139800130e+01
0.042,1.00000000000000000e+00,2.07810356725018401e+01
0.044,1.00000000000000000e+00,2.17597652705852127e+01
0.046,1.00000000000000000e+00,2.27375166319608439e+01
0.048,1.00000000000000000e+00,2.37142907295746497e+01
0.05,1.00000000000000000e+00,2.46900885343598340e+01
0.052,1.00000000000000000e+00,2.56649110152368891e+01
0.054,1.00000000000000000e+00,2.66387591391135921e+01
0.056,1.00000000000000000e+00,2.76116339133724864e+01
0.058,1.00000000000000000e+00,2.85835364093733446e+01
0.06,1.00000000000000000e+00,2.95544675183486589e+01
0.062,1.00000000000000000e+00,3.05244282094459152e+01
0.064,1.00000000000000000e+00,3.14934194485626868e+01
0.066,1.00000000000000000e+00,3.24614421980161723e+01
0.068,1.00000000000000000e+00,3.34284974162127213e+01
0.07,1.00000000000000000e+00,3.43945860573174116e+01
0.072,1.00000000000000000e+00,3.53597090709235289e+01
0.074,1.00000000000000000e+00,3.63238674017221399e+01
0.076,1.00000000000000000e+00,3.72870619891716402e+01
0.078,1.00000000000000000e+00,3.82492938470817592e+01
0.08,1.00000000000000000e+00,3.92105642899788194e+01
0.082,1.00000000000000000e+00,4.01708739791768394e+01
0.084,1.00000000000000000e+00,4.11302238672521909e+01
0.086,1.00000000000000000e+00,4.20886149031674464e+01
0.088,1.00000000000000000e+00,4.30460480320342427e+01
0.09,1.00000000000000000e+00,4.40025241948760453e+01
0.092,1.00000000000000000e+00,4.49580443283909474e+01
0.094,1.00000000000000000e+00,4.59126093647144913e+01
0.096,1.00000000000000000e+00,4.68662202311824103e+01
0.098,1.00000000000000000e+00,4.78188778500934930e+01
0.1,1.00000000000000000e+00,4.87705831769010700e+01
0.102,1.00000000000000000e+00,4.97213376815751218e+01
0.104,1.00000000000000000e+00,5.06711419094604167e+01
0.106,1.00000000000000000e+00,5.16199968033239287e+01
0.108,1.00000000000000000e+00,5.25679033038099988e+01
0.11,1.00000000000000000e+00,5.35148623493661830e+01
0.112,1.00000000000000000e+00,5.44608748761691785e+01
0.114,1.00000000000000000e+00,5.54059418180506640e+01
0.116,1.00000000000000000e+00,5.63500641064232184e+01
0.118,1.00000000000000000e+00,5.72932426702062116e+01
0.12,1.00000000000000000e+00,5.82354784357516522e+01
0.122,1.00000000000000000e+00,5.91767723267700987e+01
0.124,1.00000000000000000e+00,6.01171255889098219e+01
0.126,1.00000000000000000e+00,6.10565389517915662e+01
0.128,1.00000000000000000e+00,6.19950133441099851e+01
0.13,1.00000000000000000e+00,6.29325497036423727e+01
0.132,1.00000000000000000e+00,6.38691489674870283e+01
0.134,1.00000000000000000e+00,6.48048120720818304e+01
0.136,1.00000000000000000e+00,6.57395399532227316e+01
0.138,1.00000000000000000e+00,6.66733335460823042e+01
0.14,1.00000000000000000e+00,6.76061937852282711e+01
0.142,1.00000000000000000e+00,6.85381216046420576e+01
0.144,1.00000000000000000e+00,6.94691179377373089e+01
0.146,1.00000000000000000e+00,7.03991837171797243e+01
0.148,1.00000000000000000e+00,7.13283198753869812e+01
0.15,1.00000000000000000e+00,7.22565273441921079e+01
0.152,1.00000000000000000e+00,7.31838070549053157e+01
0.154,1.00000000000000000e+00,7.41101599383600700e+01
0.156,1.00000000000000000e+00,7.50355869249315504e+01
0.158,1.00000000000000000e+00,7.59600889445551388e+01
0.16,1.00000000000000000e+00,7.68836669267448940e+01
