"time","M","wB"
0,1.00000000000000000e+00,-0.00000000000000000e+00
0.001,1.00000000000000000e+00,4.99875021605170056e-01
0.002,1.00000000000000000e+00,9.99500168723481019e-01
0.003,1.00000000000000000e+00,1.49887556429262436e+00
0.004,1.00000000000000000e+00,1.99800133427776871e+00
0.005,1.00000000000000000e+00,2.49687760271145720e+00
0.006,1.00000000000000000e+00,2.99550449569853505e+00
0.007,1.00000000000000000e+00,3.49388213576462991e+00
0.008,1.00000000000000000e+00,3.99201064691499852e+00
0.009,1.00000000000000000e+00,4.48989015626720178e+00
0.01,1.00000000000000000e+00,4.98752079035266682e+00
0.011,1.00000000000000000e+00,5.48490266679426774e+00
0.012,1.00000000000000000e+00,5.98203591497188469e+00
0.013,1.00000000000000000e+00,6.47892066098001429e+00
0.014,1.00000000000000000e+00,6.97555702792021570e+00
0.015,1.00000000000000000e+00,7.47194513761788581e+00
0.016,1.00000000000000000e+00,7.96808511658517737e+00
0.017,1.00000000000000000e+00,8.46397708939145232e+00
0.018,1.00000000000000000e+00,8.95962117829901317e+00
0.019,1.00000000000000000e+00,9.45501750767433968e+00
0.02,1.00000000000000000e+00,9.95016620125268325e+00
0.021,1.00000000000000000e+00,1.04450673830715939e+01
0.022,1.00000000000000000e+00,1.09397211778244774e+01
0.023,1.00000000000000000e+00,1.14341277083208919e+01
0.024,1.00000000000000000e+00,1.19282870978909123e+01
0.025,1.00000000000000000e+00,1.24221994697118738e+01
0.026,1.00000000000000000e+00,1.29158649468083695e+01
0.027,1.00000000000000000e+00,1.34092836520522525e+01
0.028,1.00000000000000000e+00,1.39024557081626394e+01
0.029,1.00000000000000000e+00,1.43953812506613179e+01
0.03,1.00000000000000000e+00,1.48880603961722073e+01
0.031,1.00000000000000000e+00,1.53804932664116158e+01
0.032,1.00000000000000000e+00,1.58726799841790509e+01
0.033,1.00000000000000000e+00,1.63646206720943503e+01
0.034,1.00000000000000000e+00,1.68563154525976984e+01
0.035,1.00000000000000000e+00,1.73477644479496220e+01
0.036,1.00000000000000000e+00,1.78389677802309805e+01
0.037,1.00000000000000000e+00,1.83299255713429794e+01
0.038,1.00000000000000000e+00,1.88206379430071671e+01
0.039,1.00000000000000000e+00,1.93111050167654383e+01
0.04,1.00000000000000000e+00,1.98013269139800130e+01
0.041,1.00000000000000000e+00,2.02913037558334608e+01
0.042,1.00000000000000000e+00,2.07810356725018401e+01
0.043,1.00000000000000000e+00,2.12705228120197347e+01
0.044,1.00000000000000000e+00,2.17597652705852127e+01
0.045,1.00000000000000000e+00,2.22487631700052049e+01
0.046,1.00000000000000000e+00,2.27375166319608439e+01
0.047,1.00000000000000000e+00,2.32260257780074753e+01
0.048,1.00000000000000000e+00,2.37142907295746497e+01
0.049,1.00000000000000000e+00,2.42023116079661165e+01
0.05,1.00000000000000000e+00,2.46900885343598340e+01
0.051,1.00000000000000000e+00,2.51776216298079660e+01
0.052,1.00000000000000000e+00,2.56649110152368891e+01
0.053,1.00000000000000000e+00,2.61519568114471710e+01
0.054,1.00000000000000000e+00,2.66387591391135921e+01
0.055,1.00000000000000000e+00,2.71253181187851489e+01
0.056,1.00000000000000000e+00,2.76116339133724864e+01
0.057,1.00000000000000000e+00,2.80977066454407378e+01
0.058,1.00000000000000000e+00,2.85835364093733446e+01
0.059,1.00000000000000000e+00,2.90691233265951823e+01
0.06,1.00000000000000000e+00,2.95544675183486589e+01
0.061,1.00000000000000000e+00,3.00395691056834018e+01
0.062,1.00000000000000000e+00,3.05244282094459152e+01
0.063,1.00000000000000000e+00,3.10090449502692493e+01
0.064,1.00000000000000000e+00,3.14934194485626868e+01
0.065,1.00000000000000000e+00,3.19775518245014077e+01
0.066,1.00000000000000000e+00,3.24614421980161723e+01
0.067,1.00000000000000000e+00,3.29450906887829689e+01
0.068,1.00000000000000000e+00,3.34284974162127213e+01
0.069,1.00000000000000000e+00,3.39116624994409435e+01
0.07,1.00000000000000000e+00,3.43945860573174116e+01
0.071,1.00000000000000000e+00,3.48772682083958259e+01
0.072,1.00000000000000000e+00,3.53597090709235289e+01
0.073,1.00000000000000000e+00,3.58419087628311104e+01
0.074,1.00000000000000000e+00,3.63238674017221399e+01
0.075,1.00000000000000000e+00,3.68055851048628213e+01
0.076,1.00000000000000000e+00,3.72870619891716402e+01
0.077,1.00000000000000000e+00,3.77682981712090822e+01
0.078,1.00000000000000000e+00,3.82492938470817592e+01
0.079,1.00000000000000000e+00,3.87300492224133635e+01
0.08,1.00000000000000000e+00,3.92105642899788194e+01
0.081,1.00000000000000000e+00,3.96908391691722713e+01
0.082,1.00000000000000000e+00,4.01708739791768394e+01
0.083,1.00000000000000000e+00,4.06506688389572162e+01
0.084,1.00000000000000000e+00,4.11302238672521909e+01
0.085,1.00000000000000000e+00,4.16095391825673175e+01
0.086,1.00000000000000000e+00,4.20886149031674464e+01
0.087,1.00000000000000000e+00,4.25674511470693417e+01
0.088,1.00000000000000000e+00,4.30460480320342427e+01
0.089,1.00000000000000000e+00,4.35244056755604731e+01
0.09,1.00000000000000000e+00,4.40025241948760453e+01
0.091,1.00000000000000000e+00,4.44804037069311704e+01
0.092,1.00000000000000000e+00,4.49580443283909474e+01
0.093,1.00000000000000000e+00,4.54354461756278809e+01
0.094,1.00000000000000000e+00,4.59126093647144913e+01
0.095,1.00000000000000000e+00,4.63895340114158969e+01
0.096,1.00000000000000000e+00,4.68662202311824103e+01
0.097,1.00000000000000000e+00,4.73426681391421269e+01
0.098,1.00000000000000000e+00,4.78188778500934930e+01
0.099,1.00000000000000000e+00,4.82948494784979090e+01
0.1,1.00000000000000000e+00,4.87705831769010700e+01
0.101,1.00000000000000000e+00,4.92460792728405181e+01
0.102,1.00000000000000000e+00,4.97213376815751218e+01
0.103,1.00000000000000000e+00,5.01963585211445462e+01
0.104,1.00000000000000000e+00,5.06711419094604167e+01
0.105,1.00000000000000000e+00,5.11456879643040025e+01
0.106,1.00000000000000000e+00,5.16199968033239287e+01
0.107,1.00000000000000000e+00,5.20940685440338171e+01
0.108,1.00000000000000000e+00,5.25679033038099988e+01
0.109,1.00000000000000000e+00,5.30415011998891899e+01
0.11,1.00000000000000000e+00,5.35148623493661830e+01
0.111,1.00000000000000000e+00,5.39879868691915163e+01
0.112,1.00000000000000000e+00,5.44608748761691785e+01
0.113,1.00000000000000000e+00,5.49335264869542570e+01
0.114,1.00000000000000000e+00,5.54059418180506640e+01
0.115,1.00000000000000000e+00,5.58781209858087919e+01
0.116,1.00000000000000000e+00,5.63500641064232184e+01
0.117,1.00000000000000000e+00,5.68217712959303682e+01
0.118,1.00000000000000000e+00,5.72932426702062116e+01
0.119,1.00000000000000000e+00,5.77644783449639334e+01
0.12,1.00000000000000000e+00,5.82354784357516522e+01
0.121,1.00000000000000000e+00,5.87062430579500472e+01
