"time","wB","I","M_mot","M_load","U"
0,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0001,-2.49993739833627403e-02,1.11435454659304023e+00,1.11435454659304031e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0002,-4.44258645195259039e-02,2.07376163038768047e+00,2.07376163038768047e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0003,-5.90544682313263319e-02,2.89971622019760522e+00,2.89971622019760511e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0004,-6.95526707753892220e-02,3.61074281232602301e+00,3.61074281232602323e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0005,-7.64953042875871903e-02,4.22282970574052463e+00,4.22282970574052507e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0006,-8.03772326595258019e-02,4.74975717457459368e+00,4.74975717457459368e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0007,-8.16243958374352624e-02,5.20329075483093639e+00,5.20329075483093706e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0008,-8.06038873126482536e-02,5.59363657704121486e+00,5.59363657704121553e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0009,-7.76317495851374800e-02,5.92958749588110923e+00,5.92958749588110900e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.001,-7.29800484253936566e-02,6.21867495166912043e+00,6.21867495166912088e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0011,-6.68831787912387288e-02,6.46745120105197380e+00,6.46745120105197469e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0012,-5.95427639212547238e-02,6.68151627128217029e+00,6.68151627128217074e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0013,-5.11324175382226534e-02,6.86569317383527089e+00,6.86569317383527111e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0014,-4.18016302300288425e-02,7.02413990925080345e+00,7.02413990925080389e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0015,-3.16790956268707333e-02,7.16042604317829312e+00,7.16042604317829401e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0016,-2.08756535420077695e-02,7.27762847279560177e+00,7.27762847279560199e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0017,-9.48675414773253282e-03,7.37844100328320529e+00,7.37844100328320596e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0018,2.40562584880135363e-03,7.46511695504234485e+00,7.46511695504234574e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0019,1.47307807738252874e-02,7.53962465437704132e+00,7.53962465437704177e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.002,2.74278480331098182e-02,7.60358678694813506e+00,7.60358678694813550e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0021,4.04440831428917458e-02,7.65851651398607558e+00,7.65851651398607558e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0022,5.37343092600551520e-02,7.70568606455497296e+00,7.70568606455497296e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0023,6.72597127868773265e-02,7.74614596517815457e+00,7.74614596517815501e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0024,8.09867345678674383e-02,7.78083501882839812e+00,7.78083501882839812e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0025,9.48865110232558207e-02,7.81056479876798981e+00,7.81056479876799048e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0026,1.08934237781574850e-01,7.83602479340267344e+00,7.83602479340267388e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0027,1.23108559067700629e-01,7.85780795033116863e+00,7.85780795033116930e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0028,1.37391084838497379e-01,7.87642496646423584e+00,7.87642496646423607e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0029,1.51765979391442901e-01,7.89231568768099834e+00,7.89231568768099856e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.003,1.66219606990724078e-01,7.90585892768990384e+00,7.90585892768990384e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0031,1.80740226844753826e-01,7.91738202345799635e+00,7.91738202345799724e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0032,1.95317734206032656e-01,7.92710501232004638e+00,7.92710501232004705e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0033,2.09943126240690447e-01,7.93534583784683001e+00,7.93534583784683001e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0034,2.24608989909664825e-01,7.94231030025467977e+00,7.94231030025468021e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0035,2.39308941519891322e-01,7.94817557950984011e+00,7.94817557950984077e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0036,2.54037483575164480e-01,7.95309422318259607e+00,7.95309422318259629e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0037,2.68789881572928768e-01,7.95719653764994916e+00,7.95719653764994983e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0038,2.83562052762944050e-01,7.96059490210286658e+00,7.96059490210286658e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0039,2.98350476470762738e-01,7.96338770606032487e+00,7.96338770606032531e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.004,3.13152124144016830e-01,7.96565954139506172e+00,7.96565954139506260e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0041,3.27964390330706179e-01,7.96748315241863736e+00,7.96748315241863736e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0042,3.42785033421577290e-01,7.96892111249922408e+00,7.96892111249922430e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0043,3.57612124778485918e-01,7.97002726762771285e+00,7.97002726762771285e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0044,3.72444005082951335e-01,7.97084798328606059e+00,7.97084798328606126e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0045,3.87279246921080789e-01,7.97142323010403331e+00,7.97142323010403331e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0046,4.02116622798511403e-01,7.97178755180860765e+00,7.97178755180860787e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0047,4.16955079745315316e-01,7.97197136177078747e+00,7.97197136177078769e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0048,4.31793713534059986e-01,7.97200150804072916e+00,7.97200150804072916e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0049,4.46631755848258538e-01,7.97189860202524603e+00,7.97189860202524692e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.005,4.61468541464302717e-01,7.97167932981892147e+00,7.97167932981892147e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0051,4.76303488620240023e-01,7.97135717712155500e+00,7.97135717712155523e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0052,4.91136083008804791e-01,7.97094545108546715e+00,7.97094545108546715e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0053,5.05965876866649067e-01,7.97045594747951380e+00,7.97045594747951447e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0054,5.20792481448063227e-01,7.96989901651612787e+00,7.96989901651612875e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0055,5.35615559776554062e-01,7.96928369445786355e+00,7.96928369445786378e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0056,5.50434820072666198e-01,7.96861784750331381e+00,7.96861784750331426e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0057,5.65250009901552275e-01,7.96790831056822313e+00,7.96790831056822357e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0058,5.80060911014717129e-01,7.96716101495757556e+00,7.96716101495757556e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0059,5.94867334830368133e-01,7.96638110314215364e+00,7.96638110314215386e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.006,6.09669118487859762e-01,7.96557303066177713e+00,7.96557303066177780e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0061,6.24466121411837993e-01,7.96474065589099567e+00,7.96474065589099611e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0062,6.39258222325371772e-01,7.96388731873139921e+00,7.96388731873139966e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0063,6.54045316656691411e-01,7.96301590935705139e+00,7.96301590935705184e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0064,6.68827314289769381e-01,7.96212892813178019e+00,7.96212892813178086e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0065,6.83604137614595486e-01,7.96122853772432215e+00,7.96122853772432304e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0066,6.98375719838118636e-01,7.96031660840247834e+00,7.96031660840247901e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0067,7.13142003521736734e-01,7.95939475732761803e+00,7.95939475732761803e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0068,7.27902939309799657e-01,7.95846438264153555e+00,7.95846438264153577e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0069,7.42658484820474141e-01,7.95752669301237248e+00,7.95752669301237336e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.007,7.57408603743310316e-01,7.95658273321546883e+00,7.95658273321546927e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0071,7.72153264993423627e-01,7.95563340629840710e+00,7.95563340629840798e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0072,7.86892442002614989e-01,7.95467949275283814e+00,7.95467949275283859e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0073,8.01626112106378241e-01,7.95372166711068740e+00,7.95372166711068806e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0074,8.16354256013921087e-01,7.95276051230545811e+00,7.95276051230545900e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0075,8.31076857350014464e-01,7.95179653208477699e+00,7.95179653208477721e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0076,8.45793902258927255e-01,7.95083016175431645e+00,7.95083016175431645e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0077,8.60505379062099673e-01,7.94986177746390510e+00,7.94986177746390577e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0078,8.75211277962261835e-01,7.94889170423481772e+00,7.94889170423481839e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0079,8.89911590787703655e-01,7.94792022290244926e+00,7.94792022290244926e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.008,9.04606310771267963e-01,7.94694757611611280e+00,7.94694757611611347e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0081,9.19295432359356846e-01,7.94597397352824153e+00,7.94597397352824197e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0082,9.33978951046889438e-01,7.94499959627077423e+00,7.94499959627077423e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0083,9.48656863200695866e-01,7.94402460083986561e+00,7.94402460083986628e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0084,9.63329165998421999e-01,7.94304912243368832e+00,7.94304912243368855e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0085,9.77995857302932814e-01,7.94207327784957506e+00,7.94207327784957506e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0086,9.92656935561175513e-01,7.94109716798883625e+00,7.94109716798883647e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0087,1.00731239972467246e+00,7.94012088001653282e+00,7.94012088001653349e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0088,1.02196224918081513e+00,7.93914448922492344e+00,7.93914448922492411e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0089,1.03660648369347985e+00,7.93816806064705105e+00,7.93816806064705172e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.009,1.05124510335171539e+00,7.93719165045799446e+00,7.93719165045799535e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0091,1.06587810852543785e+00,7.93621530717315693e+00,7.93621530717315782e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0092,1.08050549982711597e+00,7.93523907269440887e+00,7.93523907269440887e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0093,1.09512727807869537e+00,7.93426298320143086e+00,7.93426298320143109e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0094,1.10974344428297766e+00,7.93328706994002886e+00,7.93328706994002930e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0095,1.12435399959894089e+00,7.93231135988397185e+00,7.93231135988397229e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0096,1.13895894532037234e+00,7.93133587632207959e+00,7.93133587632207981e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0097,1.15355828285743933e+00,7.93036063935405178e+00,7.93036063935405267e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0098,1.16815201372073552e+00,7.92938566633072295e+00,7.92938566633072384e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0099,1.18274013950753432e+00,7.92841097222016966e+00,7.92841097222017011e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.01,1.19732266188986891e+00,7.92743656993991497e+00,7.92743656993991519e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0101,1.21189958260427622e+00,7.92646247062593279e+00,7.92646247062593345e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0102,1.22647090344288823e+00,7.92548868388553451e+00,7.92548868388553540e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0103,1.24103662624578370e+00,7.92451521799799874e+00,7.92451521799799941e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0104,1.25559675289434658e+00,7.92354208009868266e+00,7.92354208009868333e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0105,1.27015128530554522e+00,7.92256927633208630e+00,7.92256927633208652e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0106,1.28470022542697349e+00,7.92159681198731480e+00,7.92159681198731480e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0107,1.29924357523257639e+00,7.92062469161304517e+00,7.92062469161304517e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0108,1.31378133671894548e+00,7.91965291912576763e+00,7.91965291912576808e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0109,1.32831351187587976e+00,7.91868149788447262e+00,7.91868149788447329e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.011,1.34284010263334808e+00,7.91771043077320513e+00,7.91771043077320602e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0111,1.35736111104246704e+00,7.91673972026799078e+00,7.91673972026799122e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0112,1.37187653916662922e+00,7.91576936848826751e+00,7.91576936848826795e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0113,1.38638638907972389e+00,7.91479937724165872e+00,7.91479937724165916e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0114,1.40089066286457342e+00,7.91382974807480988e+00,7.91382974807480988e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0115,1.41538936261162873e+00,7.91286048230557792e+00,7.91286048230557815e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0116,1.42988249041782800e+00,7.91189158104839940e+00,7.91189158104840029e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0117,1.44437004838557503e+00,7.91092304525107348e+00,7.91092304525107370e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0118,1.45885203862190926e+00,7.90995487570984857e+00,7.90995487570984923e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0119,1.47332846323774591e+00,7.90898707309550186e+00,7.90898707309550253e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.012,1.48779932434724782e+00,7.90801963796849972e+00,7.90801963796849972e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0121,1.50226462406727479e+00,7.90705257079089030e+00,7.90705257079089119e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0122,1.51672436451689174e+00,7.90608587194472268e+00,7.90608587194472356e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0123,1.53117854781696705e+00,7.90511954174204412e+00,7.90511954174204501e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0124,1.54562717608982458e+00,7.90415358043067684e+00,7.90415358043067728e-01,-5.00000000000000000e-01,1.20000000000000000e+01
