"time","wB","I","M_mot","M_load","U"
0,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0002,-4.44258645195259039e-02,2.07376163038768047e+00,2.07376163038768047e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0004,-6.95526707753892220e-02,3.61074281232602301e+00,3.61074281232602323e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0006,-8.03772326595258019e-02,4.74975717457459368e+00,4.74975717457459368e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0008,-8.06038873126482536e-02,5.59363657704121486e+00,5.59363657704121553e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.001,-7.29800484253936566e-02,6.21867495166912043e+00,6.21867495166912088e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0012,-5.95427639212547238e-02,6.68151627128217029e+00,6.68151627128217074e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0014,-4.18016302300288425e-02,7.02413990925080345e+00,7.02413990925080389e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0016,-2.08756535420077695e-02,7.27762847279560177e+00,7.27762847279560199e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0018,2.40562584880135363e-03,7.46511695504234485e+00,7.46511695504234574e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.002,2.74278480331098182e-02,7.60358678694813506e+00,7.60358678694813550e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0022,5.37343092600551520e-02,7.70568606455497296e+00,7.70568606455497296e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0024,8.09867345678674383e-02,7.78083501882839812e+00,7.78083501882839812e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0026,1.08934237781574850e-01,7.83602479340267344e+00,7.83602479340267388e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0028,1.37391084838497379e-01,7.87642496646423584e+00,7.87642496646423607e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.003,1.66219606990724078e-01,7.90585892768990384e+00,7.90585892768990384e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0032,1.95317734206032656e-01,7.92710501232004638e+00,7.92710501232004705e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0034,2.24608989909664825e-01,7.94231030025467977e+00,7.94231030025468021e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0036,2.54037483575164480e-01,7.95309422318259607e+00,7.95309422318259629e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0038,2.83562052762944050e-01,7.96059490210286658e+00,7.96059490210286658e-01,-5.00000000000000000e-01,1.20000000000000000e+01
