"time","wB","I","M_mot","M_load","U"
0,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0001,-2.49993739833627403e-02,1.14200355037348200e+00,1.14200355037348211e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0002,-4.42876229569168986e-02,2.17554190483261012e+00,2.17554190483261023e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0003,-5.84073449309994649e-02,3.11091008772708655e+00,3.11091008772708677e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0004,-6.78496368952807988e-02,3.95740580219514770e+00,3.95740580219514804e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0005,-7.30590839461761898e-02,4.72345717545966703e+00,4.72345717545966715e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0006,-7.44381097799292346e-02,5.41661180270745923e+00,5.41661180270745946e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0007,-7.23513819518620260e-02,6.04385743697277888e+00,6.04385743697277933e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0008,-6.71286092097443110e-02,6.61138288450071521e+00,6.61138288450071610e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0009,-5.90685413830586217e-02,7.12482135962564378e+00,7.12482135962564378e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.001,-4.84417484304076607e-02,7.58929980131146387e+00,7.58929980131146431e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0011,-3.54931527193093482e-02,8.00946009133601677e+00,8.00946009133601700e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0012,-2.04444555406186057e-02,8.38950765672817411e+00,8.38950765672817456e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0013,-3.49632048942678103e-03,8.73323834630796014e+00,8.73323834630796103e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0014,1.51695781682679685e-02,9.04407025086831418e+00,9.04407025086831462e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0015,3.53886637038550861e-02,9.32514304219226098e+00,9.32514304219226098e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0016,5.70120671600639201e-02,9.57927202959537460e+00,9.57927202959537483e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0017,7.99050026942495495e-02,9.80900665260985249e+00,9.80900665260985294e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0018,1.03945438078302532e-01,1.00166576065176560e+01,1.00166576065176560e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0019,1.29022900378939348e-01,1.02043519027501137e+01,1.02043519027501151e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.002,1.55037556979075702e-01,1.03739476490352018e+01,1.03739476490352023e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0021,1.81898870560974812e-01,1.05271569907687343e+01,1.05271569907687357e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0022,2.09524869126632124e-01,1.06655302051544343e+01,1.06655302051544343e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0023,2.37841334666502480e-01,1.07904709732527149e+01,1.07904709732527149e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0024,2.66781072403628361e-01,1.09032502000949112e+01,1.09032502000949116e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0025,2.96283244960528991e-01,1.10050185080445289e+01,1.10050185080445284e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0026,3.26292770969143164e-01,1.10968175000392844e+01,1.10968175000392844e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0027,3.56759779690408008e-01,1.11795898251478167e+01,1.11795898251478176e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0028,3.87639116014904528e-01,1.12541881749077444e+01,1.12541881749077444e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0029,4.18889890442322443e-01,1.13213943089875322e+01,1.13213943089875335e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.003,4.50475124217241452e-01,1.13819079794916487e+01,1.13819079794916500e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0031,4.82361339106037956e-01,1.14363627473713994e+01,1.14363627473714002e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0032,5.14518226274383705e-01,1.14853322419952697e+01,1.14853322419952697e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0033,5.46918346478364903e-01,1.15293358289645678e+01,1.15293358289645687e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0034,5.79536858608965422e-01,1.15688437420926196e+01,1.15688437420926205e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0035,6.12351273901707516e-01,1.16042817301761101e+01,1.16042817301761114e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0036,6.45341233401793279e-01,1.16360352644100686e+01,1.16360352644100695e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0037,6.78488306494054561e-01,1.16644536979287121e+01,1.16644536979287117e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0038,7.11775810206838777e-01,1.16898531257891456e+01,1.16898531257891469e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0039,7.45188642838396031e-01,1.17125196242893388e+01,1.17125196242893392e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.004,7.78713133787774514e-01,1.17327121859409118e+01,1.17327121859409123e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0041,8.12336908067722741e-01,1.17506652847780586e+01,1.17506652847780590e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0042,8.46048763650584013e-01,1.17665911989248748e+01,1.17665911989248761e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0043,8.79838560432874228e-01,1.17806819040567632e+01,1.17806819040567645e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0044,9.13697122578698284e-01,1.17931111296067872e+01,1.17931111296067881e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0045,9.47616135796390147e-01,1.18040366883458852e+01,1.18040366883458847e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0046,9.81588078897867256e-01,1.18135292897772661e+01,1.18135292897772670e+00,-5.00000000000000000e-01,1.20000000000000000e+01
