"time","wB","I","M_mot","M_load","U"
0,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0002,-4.42876229569168986e-02,2.17554190483261012e+00,2.17554190483261023e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0004,-6.78496368952807988e-02,3.95740580219514770e+00,3.95740580219514804e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0006,-7.44381097799292346e-02,5.41661180270745923e+00,5.41661180270745946e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0008,-6.71286092097443110e-02,6.61138288450071521e+00,6.61138288450071610e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.001,-4.84417484304076607e-02,7.58929980131146387e+00,7.58929980131146431e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0012,-2.04444555406186057e-02,8.38950765672817411e+00,8.38950765672817456e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0014,1.51695781682679685e-02,9.04407025086831418e+00,9.04407025086831462e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0016,5.70120671600639201e-02,9.57927202959537460e+00,9.57927202959537483e-01,-5.00000000000000000e-01,1.20000000000000000e+01
0.0018,1.03945438078302532e-01,1.00166576065176560e+01,1.00166576065176560e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.002,1.55037556979075702e-01,1.03739476490352018e+01,1.03739476490352023e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0022,2.09524869126632124e-01,1.06655302051544343e+01,1.06655302051544343e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0024,2.66781072403628361e-01,1.09032502000949112e+01,1.09032502000949116e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0026,3.26292770969143164e-01,1.10968175000392844e+01,1.10968175000392844e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0028,3.87639116014904528e-01,1.12541881749077444e+01,1.12541881749077444e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.003,4.50475124217241452e-01,1.13819079794916487e+01,1.13819079794916500e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0032,5.14518226274383705e-01,1.14853322419952697e+01,1.14853322419952697e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0034,5.79536858608965422e-01,1.15688437420926196e+01,1.15688437420926205e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0036,6.45341233401793279e-01,1.16360352644100686e+01,1.16360352644100695e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0038,7.11775810206838777e-01,1.16898531257891456e+01,1.16898531257891469e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.004,7.78713133787774514e-01,1.17327121859409118e+01,1.17327121859409123e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0042,8.46048763650584013e-01,1.17665911989248748e+01,1.17665911989248761e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0044,9.13697122578698284e-01,1.17931111296067872e+01,1.17931111296067881e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0046,9.81588078897867256e-01,1.18135292897772661e+01,1.18135292897772670e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0048,1.04966315493887130e+00,1.18289730010698850e+01,1.18289730010698846e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.005,1.11787534395648325e+00,1.18404139867103986e+01,1.18404139867103986e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0052,1.18618651124603192e+00,1.18485779060556133e+01,1.18485779060556129e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0054,1.25456543798361686e+00,1.18540593690228384e+01,1.18540593690228380e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0056,1.32298657366278571e+00,1.18573462904670262e+01,1.18573462904670257e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0058,1.39142902225857190e+00,1.18588407968728937e+01,1.18588407968728937e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.006,1.45987573915546665e+00,1.18588796405849077e+01,1.18588796405849073e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0062,1.52831286530666643e+00,1.18577196022778928e+01,1.18577196022778941e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0064,1.59672892369054931e+00,1.18555578549381249e+01,1.18555578549381258e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0066,1.66511434856386087e+00,1.18525670947119313e+01,1.18525670947119321e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0068,1.73346123318194212e+00,1.18488928857627904e+01,1.18488928857627918e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.007,1.80176306408103759e+00,1.18446563808205898e+01,1.18446563808205907e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0072,1.87001448573234419e+00,1.18399579242830058e+01,1.18399579242830066e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0074,1.93821110096059179e+00,1.18348804194451489e+01,1.18348804194451485e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0076,2.00634930405826362e+00,1.18294922593981404e+01,1.18294922593981400e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0078,2.07442614209408971e+00,1.18238498131478202e+01,1.18238498131478198e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.008,2.14243920005697852e+00,1.18179995092870254e+01,1.18179995092870249e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0082,2.21038650571568551e+00,1.18119795710333726e+01,1.18119795710333730e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0084,2.27826645162923880e+00,1.18058214554574992e+01,1.18058214554574992e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0086,2.34607773063490432e+00,1.17995510443083109e+01,1.17995510443083118e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0088,2.41381928246961275e+00,1.17931896277289940e+01,1.17931896277289949e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.009,2.48149024995825274e+00,1.17867547159310622e+01,1.17867547159310626e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0092,2.54908994294945224e+00,1.17802607082892781e+01,1.17802607082892785e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0094,2.61661780863705662e+00,1.17737194446475346e+01,1.17737194446475346e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0096,2.68407340714231246e+00,1.17671406592786294e+01,1.17671406592786298e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0098,2.75145639142759713e+00,1.17605323546007714e+01,1.17605323546007723e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.01,2.81876649077574282e+00,1.17539011087085985e+01,1.17539011087085998e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0102,2.88600349720324711e+00,1.17472523284226575e+01,1.17472523284226571e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0104,2.95316725428762261e+00,1.17405904574335800e+01,1.17405904574335795e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0106,3.02025764798033070e+00,1.17339191475253859e+01,1.17339191475253868e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0108,3.08727459868860254e+00,1.17272413993585207e+01,1.17272413993585212e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.011,3.15421805499554075e+00,1.17205596783121475e+01,1.17205596783121480e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0112,3.22108798986127143e+00,1.17138760096488088e+01,1.17138760096488093e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0114,3.28788439555163148e+00,1.17071920568286956e+01,1.17071920568286969e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0116,3.35460728018706433e+00,1.17005091858517307e+01,1.17005091858517307e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0118,3.42125666490542413e+00,1.16938285181990569e+01,1.16938285181990564e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.012,3.48783258152964004e+00,1.16871509743243340e+01,1.16871509743243340e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0122,3.55433507065028653e+00,1.16804773094350054e+01,1.16804773094350067e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0124,3.62076418004940281e+00,1.16738081428944600e+01,1.16738081428944596e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0126,3.68711996340480885e+00,1.16671439823946059e+01,1.16671439823946055e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0128,3.75340247922499026e+00,1.16604852438459528e+01,1.16604852438459528e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.013,3.81961178997358797e+00,1.16538322676800323e+01,1.16538322676800332e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0132,3.88574796134956246e+00,1.16471853323146117e+01,1.16471853323146113e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0134,3.95181106169563945e+00,1.16405446651685818e+01,1.16405446651685818e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0136,4.01780116151192424e+00,1.16339104517559626e+01,1.16339104517559622e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0138,4.08371833305618193e+00,1.16272828431349069e+01,1.16272828431349073e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.014,4.14956265001524027e+00,1.16206619620447675e+01,1.16206619620447671e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0142,4.21533418723483422e+00,1.16140479079418650e+01,1.16140479079418646e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0144,4.28103302049760170e+00,1.16074407611569850e+01,1.16074407611569863e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0146,4.34665922634059676e+00,1.16008405862849031e+01,1.16008405862849040e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0148,4.41221288190527527e+00,1.15942474350011810e+01,1.15942474350011815e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.015,4.47769406481423538e+00,1.15876613483489432e+01,1.15876613483489432e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0152,4.54310285306983808e+00,1.15810823586457996e+01,1.15810823586458000e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0154,4.60843932497098407e+00,1.15745104910304768e+01,1.15745104910304764e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0156,4.67370355904464851e+00,1.15679457647403439e+01,1.15679457647403439e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0158,4.73889563398961045e+00,1.15613881941734800e+01,1.15613881941734808e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.016,4.80401562863029952e+00,1.15548377897354921e+01,1.15548377897354926e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0162,4.86906362187873398e+00,1.15482945585676333e+01,1.15482945585676333e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0164,4.93403969270338028e+00,1.15417585051195015e+01,1.15417585051195015e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0166,4.99894392010350508e+00,1.15352296316306902e+01,1.15352296316306902e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0168,5.06377638308812017e+00,1.15287079385310829e+01,1.15287079385310842e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.017,5.12853716065870202e+00,1.15221934247579831e+01,1.15221934247579827e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0172,5.19322633179499249e+00,1.15156860880271861e+01,1.15156860880271861e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0174,5.25784397317564345e+00,1.15091859250505806e+01,1.15091859250505801e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0176,5.32239016237407014e+00,1.15026929317708380e+01,1.15026929317708393e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0178,5.38686497828013344e+00,1.14962071034542674e+01,1.14962071034542679e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.018,5.45126849972693339e+00,1.14897284347989270e+01,1.14897284347989270e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0182,5.51560080548544107e+00,1.14832569200509056e+01,1.14832569200509060e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0184,5.57986197426013408e+00,1.14767925530689183e+01,1.14767925530689197e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0186,5.64405208468536568e+00,1.14703353274049586e+01,1.14703353274049591e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0188,5.70817121532245775e+00,1.14638852363622696e+01,1.14638852363622701e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.019,5.77221944465730452e+00,1.14574422730312122e+01,1.14574422730312131e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0192,5.83619685109836439e+00,1.14510064303362959e+01,1.14510064303362968e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0194,5.90010351297508251e+00,1.14445777010679439e+01,1.14445777010679439e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0196,5.96393950853665622e+00,1.14381560779011320e+01,1.14381560779011315e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0198,6.02770491595090530e+00,1.14317415534253666e+01,1.14317415534253675e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.02,6.09139981330350544e+00,1.14253341201577214e+01,1.14253341201577219e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0202,6.15502427859729462e+00,1.14189337705587430e+01,1.14189337705587435e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0204,6.21857838975170463e+00,1.14125404970375826e+01,1.14125404970375821e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0206,6.28206222460236408e+00,1.14061542919741257e+01,1.14061542919741266e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0208,6.34547586090075821e+00,1.13997751477129050e+01,1.13997751477129050e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.021,6.40881937631394116e+00,1.13934030565845905e+01,1.13934030565845901e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0212,6.47209284842440979e+00,1.13870380108977578e+01,1.13870380108977587e+00,-5.00000000000000000e-01,1.20000000000000000e+01
0.0214,6.53529635472990389e+00,1.13806800029511663e+01,1.13806800029511668e+00,-5.00000000000000000e-01,1.20000000000000000e+01
